year,RankIC(%),RankICIR,多头超额收益(%),多头信息比,多头超额最大回撤(%),空头超额收益(%),空头信息比,空头超额最大回撤(%),多头年化收益(%),多头年化波动率(%),多头最大回撤(%)
all,3.47,2.49,17.75,1.5,-22.87,20.94,1.5,-26.46,19.37,32.06,-53.4
2025,2.07,0.95,11.04,1.72,-4.51,-18.87,-1.75,-19.35,30.02,23.11,-15.32
2024,3.37,2.32,0.78,0.16,-20.39,28.37,1.41,-13.43,11.77,40.09,-31.37
2023,2.94,3.04,17.92,2.94,-2.85,-1.02,-0.21,-8.57,9.85,15.36,-10.81
2022,2.76,2.45,16.01,1.99,-6.98,9.55,0.94,-8.67,-4.05,22.75,-29.47
2021,2.92,2.72,31.41,2.22,-12.41,5.04,0.25,-18.03,38.39,16.11,-10.87
2020,2.95,1.99,-1.42,-0.12,-11.95,34.97,3.22,-6.89,21.89,27.35,-18.23
2019,4.61,3.42,20.88,2.16,-4,51.06,6.1,-5.48,50.65,22.17,-16.46
2018,3.74,2.65,12.71,1.75,-8.97,22.66,4.19,-8.02,-16.9,26.08,-33.42
2017,3.57,2.82,-11,-1.23,-13.78,36.65,5.58,-3.28,-8.88,17.44,-18.12
2016,4.31,3.51,17.48,2.43,-6.81,18.01,2.1,-4.18,1.77,36.23,-33.44
2015,4.29,2.47,112.9,3.94,-21.11,30.96,0.38,-26.46,143.54,66.3,-53.4
